"sample_location_no" "Sample_number" "Location" "Date" "Time" "Sampletype" "Water_volume_filtered_.mL." "pH" "Temperature_.ºC." "Latitude" "Longitude" "Freezing_time" "Qubit_tube_concentration_with_2ul_sample_.ng.ml." "Dilution" "Sample_type" "Sample_no" "long" "lat" "DVFI" "DV" "replNo" "smplNo.rplNo"
"ID067" "31" "ID067" "Krobæk, Op" "2021-05-18" "1899-12-31 15:45:00" "Sterivex filter, kick" " 90" "8.68" "12.3" "55.19183" "12.00305" "1899-12-31 19:00:00" "41.6" " 10" "ID" "067" "12.00305" "55.19183" "6" "E" "1" "ID067_1"
"ID006" " 1" "ID006" "Harrestrup Å" "2021-04-19" "1899-12-31 10:05:00" "Sterivex filter, water" "650" "7.58" " 9.7" "55.66018" "12.47776" "1899-12-31 14:05:00" "138" " 10" "ID" "006" "12.47776" "55.66018" "2" "A" "1" "ID006_1"
"ID007" " 1" "ID007" "Harrestrup Å" "2021-04-19" "1899-12-31 10:30:00" "Sterivex filter, kick" "275" "7.58" " 9.7" "55.66018" "12.47776" "1899-12-31 14:05:00" "182" " 10" "ID" "007" "12.47776" "55.66018" "2" "A" "1" "ID007_1"
"ID014" " 5" "ID014" "Nivå" "2021-04-22" "1899-12-31 15:15:00" "Sterivex filter, water" "350" "8.5" "12.1" "55.92788" "12.49408" "1899-12-31 17:25:00" "219" "  1" "ID" "014" "12.49408" "55.92788" "4" "C" "1" "ID014_1"
"ID015" " 5" "ID015" "Nivå" "2021-04-22" "1899-12-31 15:30:00" "Sterivex filter, kick" "100" "8.5" "12.1" "55.92788" "12.49408" "1899-12-31 17:25:00" "98.1" " 10" "ID" "015" "12.49408" "55.92788" "4" "C" "1" "ID015_1"
"ID017" " 6" "ID017" "Fakse Å, Op" "2021-04-30" "1899-12-31 11:30:00" "Sterivex filter, kick" " 75" "8.37" "12.4" "55.24190" "12.11022" "1899-12-31 17:15:00" "68.4" " 10" "ID" "017" "12.11022" "55.24190" "4" "C" "1" "ID017_1"
"ID018" " 7" "ID018" "Fakse Å, Midt" "2021-04-30" "1899-12-31 12:10:00" "Sterivex filter, water" "175" "8.87" "12.7" "55.22935" "12.13064" "1899-12-31 17:15:00" "324" "  1" "ID" "018" "12.13064" "55.22935" "4" "C" "1" "ID018_1"
"ID019" " 7" "ID019" "Fakse Å, Midt" "2021-04-30" "1899-12-31 12:30:00" "Sterivex filter, kick" " 75" "8.87" "12.7" "55.22935" "12.13064" "1899-12-31 17:15:00" "0.856" " 10" "ID" "019" "12.13064" "55.22935" "4" "C" "1" "ID019_1"
"ID020" " 8" "ID020" "Fakse Å, Ned" "2021-04-30" "1899-12-31 13:30:00" "Sterivex filter, water" "250" "8.82" "12.6" "55.21973" "12.14311" "1899-12-31 17:15:00" "4.3" " 10" "ID" "020" "12.14311" "55.21973" "4" "C" "1" "ID020_1"
"ID023" " 9" "ID023" "Lammestrupvej" "2021-04-30" "1899-12-31 16:00:00" "Sterivex filter, kick" " 60" "8.52" "10.3" "55.50883" "11.94990" "1899-12-31 17:15:00" "2.5" " 10" "ID" "023" "11.94990" "55.50883" "4" "C" "1" "ID023_1"
"ID025" "10" "ID025" "Æbelholt Å" "2021-05-02" "1899-12-31 10:15:00" "Sterivex filter, kick" "100" "8.37" " 8.3" "55.94681" "12.18868" "1899-12-31 12:55:00" "Too low" "100" "ID" "025" "12.18868" "55.94681" "4" "C" "1" "ID025_1"
"ID026" "11" "ID026" "Dumpedalsrenden" "2021-05-02" "1899-12-31 11:20:00" "Sterivex filter, water" "300" "8.26" " 9.8" "55.83015" "12.44793" "1899-12-31 12:55:00" "Too low" " 10" "ID" "026" "12.44793" "55.83015" "4" "C" "1" "ID026_1"
"ID028" "12" "ID028" "Tørslev" "2021-05-04" "1899-12-31 14:40:00" "Sterivex filter, water" "300" "8.2" " 9.5" "55.81394" "12.09773" "1899-12-31 18:25:00" "394" " 10" "ID" "028" "12.03078" "55.80107" "4" "C" "1" "ID028_1"
"ID033" "14" "ID033" "Fladså" "2021-05-06" "1899-12-31 11:00:00" "Sterivex filter, kick" " 80" "n/a" " 7.6" "55.20006" "11.87612" "1899-12-31 15:30:00" "156" " 10" "ID" "033" "11.87612" "55.20006" "4" "C" "1" "ID033_1"
"ID038" "17" "ID038" "Tåstrupvej, Lolland" "2021-05-07" "1899-12-31 11:35:00" "Sterivex filter, water" "250" "8.11" " 8.7" "54.71871" "11.69309" "1899-12-31 19:25:00" "334" " 10" "ID" "038" "11.69309" "54.71871" "2" "A" "1" "ID038_1"
"ID039" "17" "ID039" "Tåstrupvej, Lolland" "2021-05-07" "1899-12-31 11:50:00" "Sterivex filter, kick" "125" "8.11" " 8.7" "54.71871" "11.69309" "1899-12-31 19:25:00" "13.6" "100" "ID" "039" "11.69309" "54.71871" "2" "A" "1" "ID039_1"
"ID048" "22" "ID048" "Buske" "2021-05-11" "1899-12-31 16:00:00" "Sterivex filter, water" "300" "8.27" "10.3" "55.37067" "11.77807" "1899-12-31 18:20:00" "284" " 10" "ID" "048" "11.77807" "55.37067" "3" "B" "1" "ID048_1"
"ID053" "24" "ID053" "Seerdrup Å" "2021-05-13" "1899-12-31 12:55:00" "Sterivex filter, kick" "200" "8.32" "10.7" "55.31876" "11.31527" "1899-12-31 18:15:00" "174" "100" "ID" "053" "11.31527" "55.31876" "5" "D" "1" "ID053_1"
"ID055" "25" "ID055" "Fladmose Å" "2021-05-13" "1899-12-31 14:20:00" "Sterivex filter, kick" "130" "7.75" "10.0" "55.22281" "11.39529" "1899-12-31 18:15:00" "59.4" " 10" "ID" "055" "11.39529" "55.22281" "4" "C" "1" "ID055_1"
